account,city_name,result,identifier,population,currency,chart_of_account,country_iso,date
304,Val Terbi,0,266730,3285,CHF,MCH2,CH,31.12.2022
304,Les Bois,0,266742,1258,CHF,MCH2,CH,31.12.2022
304,Les Breuleux,0,266743,1524,CHF,MCH2,CH,31.12.2022
304,Les Enfers,0,266745,156,CHF,MCH2,CH,31.12.2022
304,Montfaucon,0,266751,551,CHF,MCH2,CH,31.12.2022
304,Muriaux,0,266753,511,CHF,MCH2,CH,31.12.2022
304,Le Noirmont,1788.35,266754,1902,CHF,MCH2,CH,31.12.2022
304,Saignelégier,4000,266757,2575,CHF,MCH2,CH,31.12.2022
304,Saint-Brais,0,266758,228,CHF,MCH2,CH,31.12.2022
304,Soubey,0,266759,118,CHF,MCH2,CH,31.12.2022
304,Alle,0,266771,1882,CHF,MCH2,CH,31.12.2022
304,La Baroche,0,266810,1114,CHF,MCH2,CH,31.12.2022
304,Basse-Allaine,0,266807,1217,CHF,MCH2,CH,31.12.2022
304,Boncourt,0,266774,1205,CHF,MCH2,CH,31.12.2022
304,Bure,0,266778,631,CHF,MCH2,CH,31.12.2022
304,Clos du Doubs,0,266808,1275,CHF,MCH2,CH,31.12.2022
304,Coeuve,0,266781,718,CHF,MCH2,CH,31.12.2022
304,Cornol,0,266782,1018,CHF,MCH2,CH,31.12.2022
304,Courchavon,0,266783,293,CHF,MCH2,CH,31.12.2022
304,Courgenay,0,266784,2435,CHF,MCH2,CH,31.12.2022
304,Courtedoux,0,266785,786,CHF,MCH2,CH,31.12.2022
304,Fahy,0,266789,333,CHF,MCH2,CH,31.12.2022
304,Fontenais,0,266790,1674,CHF,MCH2,CH,31.12.2022
304,Grandfontaine,0,266792,391,CHF,MCH2,CH,31.12.2022
304,Haute-Ajoie,0,266809,1052,CHF,MCH2,CH,31.12.2022
304,Porrentruy,0,266800,24123,CHF,MCH2,CH,31.12.2022
304,Vendlincourt,0,266806,546,CHF,MCH2,CH,31.12.2022
304,Delémont,17914.6,266711,39309,CHF,MCH2,CH,31.12.2022
304,Porrentruy,0,266800,24123,CHF,MCH2,CH,31.12.2022
305,Boécourt,71318.15,266702,951,CHF,MCH2,CH,31.12.2022
305,Bourrignon,3616.15,266703,258,CHF,MCH2,CH,31.12.2022
305,Courchapoix,43486.25,266706,441,CHF,MCH2,CH,31.12.2022
305,Courrendlin,486452.1,266708,3686,CHF,MCH2,CH,31.12.2022
305,Courroux,535838.55,266709,3313,CHF,MCH2,CH,31.12.2022
305,Courtételle,195261.25,266710,2654,CHF,MCH2,CH,31.12.2022
305,Delémont,4055630,266711,39309,CHF,MCH2,CH,31.12.2022
305,Develier,181566.35,266712,1360,CHF,MCH2,CH,31.12.2022
305,Ederswiler,5016.19,266713,112,CHF,MCH2,CH,31.12.2022
305,Haute-Sorne,574510.1,266729,7319,CHF,MCH2,CH,31.12.2022
305,Mervelier,23363.35,266715,522,CHF,MCH2,CH,31.12.2022
305,Mettembert,7793.1,266716,106,CHF,MCH2,CH,31.12.2022
305,Movelier,38815.7,266718,425,CHF,MCH2,CH,31.12.2022
305,Pleigne,24657.45,266719,350,CHF,MCH2,CH,31.12.2022
305,Rossemaison,40493.9,266721,733,CHF,MCH2,CH,31.12.2022
305,Saulcy,12159.95,266722,270,CHF,MCH2,CH,31.12.2022
305,Soyhières,38457.55,266724,417,CHF,MCH2,CH,31.12.2022
305,Val Terbi,372993,266730,3285,CHF,MCH2,CH,31.12.2022
305,Les Bois,206596.65,266742,1258,CHF,MCH2,CH,31.12.2022
305,Les Breuleux,273357.25,266743,1524,CHF,MCH2,CH,31.12.2022
305,Les Enfers,6703,266745,156,CHF,MCH2,CH,31.12.2022
305,Montfaucon,88851.54,266751,551,CHF,MCH2,CH,31.12.2022
305,Muriaux,54945.95,266753,511,CHF,MCH2,CH,31.12.2022
305,Le Noirmont,185750.3,266754,1902,CHF,MCH2,CH,31.12.2022
305,Saignelégier,287917.8,266757,2575,CHF,MCH2,CH,31.12.2022
305,Saint-Brais,13154.8,266758,228,CHF,MCH2,CH,31.12.2022
305,Soubey,7871.2,266759,118,CHF,MCH2,CH,31.12.2022
305,Alle,99393.95,266771,1882,CHF,MCH2,CH,31.12.2022
305,La Baroche,109705.6,266810,1114,CHF,MCH2,CH,31.12.2022
305,Basse-Allaine,66203.1,266807,1217,CHF,MCH2,CH,31.12.2022
305,Boncourt,202919.85,266774,1205,CHF,MCH2,CH,31.12.2022
305,Bure,32588.05,266778,631,CHF,MCH2,CH,31.12.2022
305,Clos du Doubs,176659.95,266808,1275,CHF,MCH2,CH,31.12.2022
305,Coeuve,68252,266781,718,CHF,MCH2,CH,31.12.2022
